Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_Category,Price_per_kg,Warranty_Price_EUR,Slogan,Total_Cost_EUR
apple,MacBook Air,Ultrabook,13.3,8,mac os x,1.35,1099.0,Standard,1440,900,No,No,No,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,Premium,814.074074074074,,,1099.0
dell,Inspiron 5570,Notebook,15.6,8,windows 10,2.2,800.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,Mid-Range,363.6363636363636,50.0,Powerful and Reliable,850.0
dell,Latitude 5590,Ultrabook,15.6,8,windows 10,1.88,1298.0,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,Premium,690.4255319148937,50.0,Powerful and Reliable,1348.0
hp,ProBook 470,Notebook,17.3,8,windows 10,2.5,896.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,Mid-Range,358.4,150.0,Innovation at its Best,1046.0
chuwi,"LapBook 15.6""",Notebook,15.6,4,windows 10,1.89,244.99,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,Budget,129.62433862433863,,,244.99
asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,windows 10,1.65,199.0,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,Budget,120.6060606060606,45.0,Inspiring Innovation,244.0
hp,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,windows 10,2.71,439.0,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,Budget,161.99261992619927,150.0,Innovation at its Best,589.0
dell,XPS 13,Ultrabook,13.3,16,windows 10,1.2,1869.0,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,Ultra-Premium,1557.5,50.0,Powerful and Reliable,1919.0
apple,MacBook Air,Ultrabook,13.3,8,mac os x,1.35,998.0,Standard,1440,900,No,No,No,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,Mid-Range,739.2592592592592,,,998.0
lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,windows 10,1.44,249.0,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,Budget,172.91666666666669,60.0,Think Different,309.0
acer,Aspire 3,Notebook,15.6,4,linux,2.1,367.0,Standard,1366,768,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,Budget,174.76190476190476,55.0,Explore Beyond Limits,422.0
dell,Inspiron 5770,Notebook,17.3,8,windows 10,2.8,979.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,Mid-Range,349.6428571428572,50.0,Powerful and Reliable,1029.0
hp,250 G6,Notebook,15.6,4,windows 10,1.86,488.69,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,Budget,262.73655913978496,150.0,Innovation at its Best,638.69
hp,ProBook 450,Notebook,15.6,8,windows 10,2.1,879.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX ,Mid-Range,418.57142857142856,150.0,Innovation at its Best,1029.0
asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,linux,2.0,389.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620,Budget,194.5,45.0,Inspiring Innovation,434.0
dell,Inspiron 7577,Gaming,15.6,16,windows 10,2.65,1499.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060,Premium,565.6603773584906,50.0,Powerful and Reliable,1549.0
asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,linux,2.3,522.99,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX,Mid-Range,227.3869565217392,45.0,Inspiring Innovation,567.99
acer,Aspire A515-51G,Notebook,15.6,4,windows 10,2.2,682.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,310.0,55.0,Explore Beyond Limits,737.0
dell,Inspiron 7773,2 in 1 Convertible,17.3,12,windows 10,2.77,999.0,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX,Mid-Range,360.6498194945849,50.0,Powerful and Reliable,1049.0
apple,MacBook Pro,Ultrabook,13.3,8,macos,1.37,1419.0,Standard,2560,1600,No,Yes,Yes,Intel,2.0,Core i5,256,0,SSD,No,Intel,Iris Graphics 540,Premium,1035.766423357664,,,1419.0
lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,no os,2.2,369.0,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,Budget,167.72727272727272,60.0,Think Different,429.0
asus,Rog Strix,Gaming,17.3,8,windows 10,3.2,1299.0,Full HD,1920,1080,No,No,No,AMD,3.0,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,Premium,405.9375,45.0,Inspiring Innovation,1344.0
dell,Inspiron 3567,Notebook,15.6,4,windows 10,2.3,639.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,Mid-Range,277.8260869565217,50.0,Powerful and Reliable,689.0
asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,windows 10,2.8,466.0,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX,Budget,166.42857142857144,45.0,Inspiring Innovation,511.0
lenovo,Yoga Book,2 in 1 Convertible,10.1,4,android,0.69,319.0,Standard,1920,1200,Yes,Yes,No,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400,Budget,462.3188405797102,60.0,Think Different,379.0
acer,Aspire A515-51G,Notebook,15.6,8,windows 10,2.2,841.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150,Mid-Range,382.27272727272725,55.0,Explore Beyond Limits,896.0
hp,255 G6,Notebook,15.6,4,windows 10,1.86,398.49,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics,Budget,214.24193548387095,150.0,Innovation at its Best,548.49
hp,ProBook 430,Notebook,13.3,8,windows 10,1.49,1103.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,Premium,740.2684563758389,150.0,Innovation at its Best,1253.0
acer,Aspire 3,Notebook,15.6,4,windows 10,2.4,384.0,Standard,1366,768,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,Budget,160.0,55.0,Explore Beyond Limits,439.0
dell,Inspiron 3576,Notebook,15.6,8,windows 10,2.13,767.8,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520,Mid-Range,360.46948356807513,50.0,Powerful and Reliable,817.8
hp,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,windows 10,1.91,439.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,Budget,229.8429319371728,150.0,Innovation at its Best,589.0
asus,VivoBook Max,Notebook,15.6,4,windows 10,2.0,586.19,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,293.095,45.0,Inspiring Innovation,631.19
msi,GS73VR 7RG,Gaming,17.3,16,windows 10,2.43,2449.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,Ultra-Premium,1007.8189300411522,,,2449.0
asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,linux,2.0,415.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520,Budget,207.5,45.0,Inspiring Innovation,460.0
dell,Inspiron 5770,Notebook,17.3,16,windows 10,2.8,1299.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,Premium,463.9285714285714,50.0,Powerful and Reliable,1349.0
dell,Vostro 5471,Ultrabook,14.0,8,windows 10,1.7,879.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,517.0588235294118,50.0,Powerful and Reliable,929.0
lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,no os,1.7,599.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,352.3529411764706,60.0,Think Different,659.0
asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,windows 10,1.4,941.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,672.1428571428572,45.0,Inspiring Innovation,986.0
hp,250 G6,Notebook,15.6,8,windows 10,1.86,690.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,370.96774193548384,150.0,Innovation at its Best,840.0
asus,ZenBook Pro,Ultrabook,15.6,16,windows 10,1.8,1983.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,Ultra-Premium,1101.6666666666667,45.0,Inspiring Innovation,2028.0
hp,250 G6,Notebook,15.6,4,windows 10,1.86,438.69,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520,Budget,235.8548387096774,150.0,Innovation at its Best,588.69
hp,Stream 14-AX040wm,Notebook,14.0,4,windows 10,1.44,229.0,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400,Budget,159.02777777777777,150.0,Innovation at its Best,379.0
lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,windows 10,1.9,549.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,Mid-Range,288.94736842105266,60.0,Think Different,609.0
asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,linux,3.0,949.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti,Mid-Range,316.3333333333333,45.0,Inspiring Innovation,994.0
microsoft,Surface Laptop,Ultrabook,13.5,4,windows 10 s,1.252,1089.0,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,Premium,869.8083067092651,,,1089.0
dell,Inspiron 5370,Ultrabook,13.3,8,windows 10,1.4,955.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,Mid-Range,682.1428571428572,50.0,Powerful and Reliable,1005.0
dell,Inspiron 5570,Notebook,15.6,8,windows 10,2.2,870.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,Mid-Range,395.45454545454544,50.0,Powerful and Reliable,920.0
msi,GL72M 7RDX,Gaming,17.3,8,windows 10,2.7,1095.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,Premium,405.55555555555554,,,1095.0
acer,Aspire E5-475,Notebook,14.0,8,windows 10,2.1,389.0,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,Budget,185.23809523809524,55.0,Explore Beyond Limits,444.0
asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,windows 10,2.2,949.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,Mid-Range,431.3636363636363,45.0,Inspiring Innovation,994.0
lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,no os,2.2,519.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,Mid-Range,235.90909090909088,60.0,Think Different,579.0
dell,Inspiron 5570,Notebook,15.6,8,windows 10,2.02,855.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620,Mid-Range,423.26732673267327,50.0,Powerful and Reliable,905.0
acer,Aspire A515-51G-32MX,Notebook,15.6,4,windows 10,2.2,530.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130,Mid-Range,240.90909090909088,55.0,Explore Beyond Limits,585.0
hp,ProBook 470,Notebook,17.3,8,windows 10,2.5,977.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX,Mid-Range,390.8,150.0,Innovation at its Best,1127.0
dell,Latitude 5590,Ultrabook,15.6,8,windows 10,1.88,1096.16,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Premium,583.0638297872341,50.0,Powerful and Reliable,1146.16
apple,"MacBook 12""",Ultrabook,12.0,8,macos,0.92,1510.0,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,Ultra-Premium,1641.304347826087,,,1510.0
hp,ProBook 440,Notebook,14.0,8,windows 10,1.63,860.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,527.6073619631902,150.0,Innovation at its Best,1010.0
lenovo,IdeaPad 320-15AST,Notebook,15.6,4,windows 10,2.2,399.0,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics,Budget,181.36363636363637,60.0,Think Different,459.0
acer,Aspire 3,Notebook,15.6,4,windows 10,2.1,395.0,Standard,1366,768,No,No,No,AMD,3.0,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5,Budget,188.09523809523807,55.0,Explore Beyond Limits,450.0
dell,Inspiron 7577,Gaming,15.6,16,windows 10,2.65,1349.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,Premium,509.0566037735849,50.0,Powerful and Reliable,1399.0
hp,Pavilion 15-CK000nv,Ultrabook,15.6,8,windows 10,1.83,699.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX,Mid-Range,381.9672131147541,150.0,Innovation at its Best,849.0
hp,250 G6,Notebook,15.6,8,windows 10,1.96,598.99,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,305.6071428571429,150.0,Innovation at its Best,748.99
asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,windows 10,2.2,1449.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,Premium,658.6363636363636,45.0,Inspiring Innovation,1494.0
dell,XPS 13,Ultrabook,13.3,8,windows 10,1.21,1649.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,Ultra-Premium,1362.809917355372,50.0,Powerful and Reliable,1699.0
asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,windows 10,2.45,699.0,Full HD,1920,1080,No,No,No,AMD,3.0,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560,Mid-Range,285.3061224489796,45.0,Inspiring Innovation,744.0
acer,Aspire 5,Notebook,15.6,8,windows 10,2.2,689.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150,Mid-Range,313.18181818181813,55.0,Explore Beyond Limits,744.0
hp,Probook 430,Notebook,13.3,16,windows 10,1.49,1197.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,Premium,803.3557046979865,150.0,Innovation at its Best,1347.0
dell,Inspiron 7577,Gaming,15.6,8,windows 10,2.65,1195.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060,Premium,450.94339622641513,50.0,Powerful and Reliable,1245.0
asus,Zenbook UX430UA,Ultrabook,14.0,8,windows 10,1.25,1049.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,Premium,839.2,45.0,Inspiring Innovation,1094.0
acer,Spin 5,2 in 1 Convertible,13.3,8,windows 10,1.5,847.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,564.6666666666666,55.0,Explore Beyond Limits,902.0
dell,Inspiron 3567,Notebook,15.6,8,linux,2.2,599.9,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,1024,0,HDD,No,AMD,Radeon R5 M430,Mid-Range,272.68181818181813,50.0,Powerful and Reliable,649.9
dell,Inspiron 3567,Notebook,15.6,4,linux,2.2,485.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,Budget,220.45454545454544,50.0,Powerful and Reliable,535.0
asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,windows 10,2.0,577.0,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,256,0,SSD,No,Nvidia,GeForce 920M,Mid-Range,288.5,45.0,Inspiring Innovation,622.0
hp,Omen 15-ce007nv,Gaming,15.6,12,windows 10,2.62,1249.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,Premium,476.7175572519084,150.0,Innovation at its Best,1399.0
hp,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,windows 10,1.91,719.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon 530,Mid-Range,376.4397905759162,150.0,Innovation at its Best,869.0
hp,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,windows 10,2.1,349.0,Full HD,1920,1080,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,Budget,166.19047619047618,150.0,Innovation at its Best,499.0
dell,Inspiron 3576,Notebook,15.6,8,linux,2.2,647.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 520,Mid-Range,294.09090909090907,50.0,Powerful and Reliable,697.0
hp,Envy 13-ad009n,Ultrabook,13.3,8,windows 10,1.38,1119.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce MX150,Premium,810.8695652173914,150.0,Innovation at its Best,1269.0
microsoft,Surface Laptop,Ultrabook,13.5,8,windows 10 s,1.252,1340.0,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Premium,1070.2875399361023,,,1340.0
hp,Pavilion 14-BK001nv,Notebook,14.0,6,windows 10,1.58,659.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,Mid-Range,417.0886075949367,150.0,Innovation at its Best,809.0
